measure,location,sex,age,cause,rei,metric,year,val,upper,lower
Deaths,Global,Both,All Ages,Neonatal sepsis and other neonatal infections,Ambient particulate matter pollution,Rate,2017,0.17728736683525165,0.25161144875129515,0.11824646863781824
Deaths,Global,Both,All Ages,Ischemic heart disease,Ambient particulate matter pollution,Rate,2019,17.2155007169313,20.125827277425778,14.047472629414182
Deaths,Global,Both,All Ages,Sudden infant death syndrome,Ambient particulate matter pollution,Rate,2018,0.0027086079456841022,0.005547571891611965,0.0013583518892887636
Deaths,Global,Both,All Ages,Hemolytic disease and other neonatal jaundice,Ambient particulate matter pollution,Rate,2017,0.06221840769002948,0.08580585185041863,0.042231964067617304
Deaths,Global,Both,All Ages,Diarrheal diseases,Ambient particulate matter pollution,Rate,2019,0.040874301487492326,0.059326958168115305,0.026899462471879625
Deaths,Global,Both,All Ages,Encephalitis,Ambient particulate matter pollution,Rate,2019,0.0017754655088411597,0.0024858040582809915,0.0012591293366094583
Deaths,Global,Both,All Ages,Chronic obstructive pulmonary disease,Ambient particulate matter pollution,Rate,2019,8.983190022832314,11.138730517970615,7.157773925341022
Deaths,Global,Both,All Ages,Neonatal sepsis and other neonatal infections,Ambient particulate matter pollution,Rate,2019,0.17948626635284556,0.259116339767481,0.11848982258762059
Deaths,Global,Both,All Ages,Hemolytic disease and other neonatal jaundice,Ambient particulate matter pollution,Rate,2019,0.0579407180071596,0.07958167253505614,0.040757602918545424
Deaths,Global,Both,All Ages,Otitis media,Ambient particulate matter pollution,Rate,2019,6.22606778807692e-05,0.00023013751398521382,5.081216253236905e-06
Deaths,Global,Both,All Ages,Meningitis,Ambient particulate matter pollution,Rate,2019,0.01140021229497619,0.01724564211384975,0.007240169149590499
Deaths,Global,Both,All Ages,Neonatal preterm birth,Ambient particulate matter pollution,Rate,2019,0.6371962491775515,0.8579018439922702,0.45726738997417754
Deaths,Global,Both,All Ages,Neonatal encephalopathy due to birth asphyxia and trauma,Ambient particulate matter pollution,Rate,2019,0.49528088760784633,0.6937965766404132,0.33271075729380867
Deaths,Global,Both,All Ages,Lower respiratory infections,Ambient particulate matter pollution,Rate,2019,4.217831097362072,5.640717755612864,2.966956085555039
Deaths,Global,Both,All Ages,Other neonatal disorders,Ambient particulate matter pollution,Rate,2019,0.3784208847893314,0.5162444642731259,0.26314854230328416
Deaths,Global,Both,All Ages,Diabetes mellitus type 2,Ambient particulate matter pollution,Rate,2018,2.433500751758195,3.1826613685784517,1.669236402750904
Deaths,Global,Both,All Ages,Ischemic stroke,Ambient particulate matter pollution,Rate,2017,6.294755247613918,7.322814432173285,5.20164472751872
Deaths,Global,Both,All Ages,Subarachnoid hemorrhage,Ambient particulate matter pollution,Rate,2017,0.8635386422109881,1.0567576794345483,0.6843340118909714
Deaths,Global,Both,All Ages,Diabetes mellitus type 2,Ambient particulate matter pollution,Rate,2019,2.5433631744233827,3.3394957422233187,1.7615693830783687
